Complexity,Loss,Equation
1,0.80879015,"PoD"
3,0.66437644,"PoD - PSoSS"
4,0.65460235,"PoD - tanh(PSoSS)"
5,0.37296587,"(PoD + -0.36560926) * 3.2698295"
6,0.25638455,"tanh((PoD + -0.45792148) * 26.6618)"
8,0.25176147,"tanh((PoD + -0.45932782) * 22.278345) - 0.04242945"
10,0.24462233,"tanh((PoD * 24.195936) + -10.856857) - (PSoSS * PoD)"
11,0.24260437,"tanh((PoD * 25.157688) + -11.382614) - (PoD * tanh(PSoSS))"
12,0.24038647,"((VoS - PoD) * PoD) + tanh((PoD + -0.4671491) * 27.208614)"
13,0.23948663,"tanh((VoS - PoD) * PoD) + tanh((PoD + -0.4671491) * 27.208614)"
15,0.23895793,"(tanh((VoS - PoD) * PoD) + tanh((PoD + -0.4671491) * 27.208614)) * 0.991903"
17,0.23755036,"(tanh((PoD + -0.4716207) * 51.198097) + ((VoS - tanh(PoD)) * (PoD - KoU2))) * 0.89438653"
