Complexity,Loss,Equation
1,0.00028317014,"0.024693016"
3,0.0002528807,"PoD * 0.044755287"
5,0.00022066863,"(PSoSS * -0.027394097) - -0.034771398"
6,0.0002206657,"0.03477262 - tanh(PSoSS * 0.027399871)"
7,0.00020175772,"((PSoSS * -0.045043014) - -0.060411114) * PoD"
8,0.00019936865,"((tanh(PSoSS) * -0.056694064) - -0.062339745) * PoD"
9,0.00017858518,"(KoU2 + PoD) * (0.045928564 - (PSoSS * 0.04675482))"
10,0.00016566477,"(KoU2 + PoD) * (0.049248237 - (tanh(PSoSS) * 0.06172384))"
11,0.00015811426,"(0.050943796 - (tanh(PSoSS) * 0.062023707)) * (tanh(KoU2) + PoD)"
15,0.00015769806,"((tanh(KoU2) + PoD) * ((0.040368874 - (tanh(PSoSS) * 0.0510234)) * 1.1836125)) + 0.0023919495"
16,0.00014616453,"(0.0523261 - (tanh(PSoSS) * (((KoU2 - PSoSS) * 0.030695947) + 0.06287811))) * (KoU2 + PoD)"
17,0.0001432863,"(0.0523261 - (tanh(PSoSS) * (((KoU2 - PSoSS) * 0.030695947) + 0.06287811))) * (tanh(KoU2) + PoD)"
