Complexity,Loss,Equation
1,0.71782213,"0.5312343"
2,0.6734954,"tanh(KoU2)"
3,0.6199572,"KoU2 - -0.17081593"
5,0.5955426,"KoU2 + (0.5387582 - PSoSS)"
6,0.5829699,"KoU2 + (0.4971695 - tanh(PSoSS))"
7,0.5611721,"((KoU2 + 1.099219) - PSoSS) - PoD"
8,0.55102813,"(KoU2 + (1.0576297 - tanh(PSoSS))) - PoD"
9,0.52249086,"(KoU2 + (2.5968816 - PSoSS)) - (PoD * 3.6722047)"
10,0.463902,"(tanh((PoD * -15.784981) + 8.279397) - PSoSS) + 1.1285411"
11,0.43907383,"(tanh((PoD * -15.9719925) + 8.769817) - tanh(PSoSS)) + 0.8363968"
12,0.37056342,"(tanh(8.600054 + (PoD * -15.715495)) + PoD) - (PSoSS - KoU2)"
14,0.36706316,"((tanh((PoD * -16.35549) + 8.747021) + PoD) + 0.12916972) - (PSoSS - KoU2)"
