Complexity,Loss,Equation
1,0.80879015,"PoD"
3,0.66437644,"PoD - PSoSS"
4,0.65460235,"PoD - tanh(PSoSS)"
5,0.37296587,"(PoD - 0.3656093) * 3.2698207"
6,0.25858667,"tanh((PoD - 0.4413447) * 11.853484)"
8,0.2517658,"tanh((PoD - 0.4590953) * 21.98818) + -0.041111477"
10,0.24680604,"(tanh((PoD - 0.46063253) * 23.48665) + -0.04320999) * 0.935732"
12,0.24634682,"(tanh((PoD - 0.45629984) * 23.488232) + (PoD * -0.31769416)) - -0.061703872"
15,0.24605444,"tanh((PoD - 0.45629984) * 23.488232) + (PoD * (tanh(VoS - 0.0642749) - 0.45629984))"
16,0.24343497,"(((VoS * -0.6997378) - 0.16065703) + (tanh((PoD - 0.46091434) * 25.454018) * 0.88488936)) + VoS"
17,0.23868299,"(((VoS * (0.6938759 - tanh(PSoSS))) + tanh((PoD - 0.4514813) * 20.167833)) * 0.87319726) + -0.17881331"
18,0.23627007,"((((PSoSS * -0.29182938) - 0.087767154) + tanh((PoD - 0.47266775) * 54.456497)) * 0.8499402) + (VoS * 0.2851134)"
